SIT:<name>;MET:<name>;CHN:<channelID>;CHN:<TspDataType>;CHN:<unit>
Huxley;Transformer T7;sk-hux-101-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
Huxley;Transformer T8;sk-hux-101-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
City and Guilds;Transformer T9;sk-mec-102-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Data Centre;U1/A Board Feeder;sk-mec-104-sip1.ad.ic.ac.uk_Device_15;Energy Consumption;kWh
Data Centre;U1/B Board Feeder H2;sk-mec-104-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Weeks Hall;Weeks Hall;sk-nor-101-sip1.ad.ic.ac.uk_Device_12;Energy Consumption;kWh
William Penney;William Penny Lab Elec;sk-she-101-sip1.ad.ic.ac.uk_Device_5;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_25;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_26;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_27;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_28;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_29;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_30;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_31;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_32;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_33;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_34;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_35;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_36;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_37;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_38;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_39;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_40;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_41;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_42;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_43;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_44;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_45;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_46;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_47;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_48;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_49;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_50;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_51;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_52;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_53;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_54;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_55;Energy Consumption;kWh
RCS1;T46 & T47 Power Quality ;sk-rcs-101-sip1.ad.ic.ac.uk_Device_56;Energy Consumption;kWh
Weeks Hall;ACB42;sk-nor-101-sip1.ad.ic.ac.uk_Device_6;Energy Consumption;kWh
